[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/jquery-hover-intent/jquery-hover-intent.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/nouislider/nouislider.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/nouislider/nouislider.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/nprogress/nprogress.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/nprogress/nprogress.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/perfect-scrollbar/js/perfect-scrollbar.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/perfect-scrollbar/js/perfect-scrollbar.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/pickr/pickr.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/pickr/themes/monolith.min.css
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/share-link/share-link.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.css
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/swiper.js
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.css
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.js
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.js
[2024-11-09 06:11:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.min.js
